PROTO車種名,0
１シリーズ,１シリーズ
３シリーズ,３シリーズ
３シリーズ,３シリーズ
５シリーズ,５シリーズ
Ａ１,Ａ１
Ａ１スポーツバック,Ａ１
アルピーヌ Ａ１１０,Ａ１
ムーヴ,ムーヴ
ムーヴキャンバス,ムーヴ
８６,８６
Ｃ－ＨＲ,Ｃ－ＨＲ
Ｃ－ＨＲ,Ｃ－ＨＲ
ｂＢ,ｂＢ
５００,５００
２０８,２０８
フリード,フリード
ＣＲ－Ｚ,ＣＲ－Ｚ
ＡＺワゴンカスタムスタイル,ＡＺワゴンカスタムスタイル
ＡＺオフロード,ＡＺオフロード
ＡＺワゴンカスタムスタイル,ＡＺワゴンカスタムスタイル
フレアクロスオーバー,フレアクロスオーバー
プレマシー,プレマシー
Ｂクラス,Ｂクラス
Ｃクラスステーションワゴン,Ｃクラスステーションワゴン
モコ,モコ
モコ,モコ
シルフィ,シルフィ
シルフィ,シルフィ
ノート,ノート
デイズ,デイズ
デイズ,デイズ
ノート,ノート
１８０ＳＸ,１８０ＳＸ
ＡＤ,ＡＤ
ティアナ,ティアナ
ティアナ,ティアナ
ＡＤエキスパート,ＡＤ
エクストレイル,エクストレイル
ＮＶ３５０キャラバンバン,ＮＶ３５０キャラバンバン
リーフ,リーフ
リーフ,リーフ
リーフ,リーフ
リーフ,リーフ
デイズルークス,デイズ
デイズルークス,デイズ
ピノ,ピノ
ピノ,ピノ
ラティオ,ラティオ
マーチ,マーチ
マーチ,マーチ
マーチ,マーチ
ノート,ノート
ノート,ノート
ノート,ノート
デュアリス,デュアリス
ヴォクシー,ヴォクシー
ヴィッツ,ヴィッツ
エルフトラック,エルフトラック
ジープ・ラングラーアンリミテッド,ジープ・ラングラーアンリミテッド
ジープ・ラングラーアンリミテッド,ジープ・ラングラーアンリミテッド
シボレーＭＷ,シボレーＭＷ
シボレーＭＷ,シボレーＭＷ
ワゴンＲ,ワゴンＲ
スペーシアギア,スペーシアギア
インプレッサ,インプレッサ
ルクラカスタム,ルクラカスタム
ＷＲＸ Ｓ４,ＷＲＸ Ｓ４
ムーヴ,ムーヴ
ムーヴキャンバス,ムーヴ
タント,タント
カローラフィールダー,カローラフィールダー
クラウンハイブリッド,クラウン
クラウン,クラウン
ゴルフＧＴＩ,ゴルフＧＴＩ
カイエン,カイエン
Ｖ６０,Ｖ６０
Ｖ６０,Ｖ６０
ＭＩＮＩ,ミニ
ＭＩＮＩ,ミニ
メガーヌ,メガーヌ
カングー,カングー
ＲＣ Ｆ,ＲＣ Ｆ
ＵＸ,ＵＸ
ビュート,ビュート
ライク,ライク
トッポ,トッポ
デリカＤ：５,デリカＤ：５
キャンター,キャンター
キャンター,キャンター
プロト側マスタに一致する型式なしの為、登録不可,エルフトラック
プロト側マスタに一致する型式なしの為、登録不可,ＡＤ
型式だと、別車両になる為　情報不一致のため登録不可,ゴルフＧＴＩ
プロト側マスタに一致する型式なしの為、登録不可,登録不可
型式だと、別車両になる為　情報不一致のため登録不可,デイズ
同一型式で、複数の車両がHIT、グレードでも車種の絞り込みが出来ない為、登録不可,登録不可
型式だと、別車両になる為　情報不一致のため登録不可,登録不可
