先方側メーカーCD,先方側メーカー名,先方側車種CD,先方側車種名,先方側グレード名,先方側型式,先方側排気量,ルール,PROTO車種CD,PROTO車種名,PROTOグレードCD,PROTOグレード名,PROTO型式
,ＢＭＷ,S010,１シリーズ,１１６ｉ スタイル ナビゲーション＆バックカメラ,DBA-1A16,1600,25,20151520,１シリーズ,15,１１６ｉ スタイル,1A16
,ＢＭＷ,S011,３シリーズ,３２８ｉ ラグジュアリー 黒本皮シート＆キセノンヘッドライト,DBA-3A20,2000,25,20151501,３シリーズ,202,３２８ｉラグジュアリー,3A20
,ＢＭＷ,S012,３シリーズツーリング,３２０ｉ Ｍスポーツパッケージ ＥＴＣ,ABA-VR20,2000,35,20151501,３シリーズ,100,３２０ｉツーリング Ｍスポーツパッケージ,VR20
,ＢＭＷ,S017,５シリーズ,５２８ｉ　Ｍスポーツパッケージ　アルピナホイール純正ＨＤＤナビ黒革シートＥＴＣ,DBA-FR30,3000,25,20151502,５シリーズ,117,５２８ｉ Ｍスポーツパッケージ,FR30
,アウディ,S048,Ａ１,１．４　ＴＦＳＩ　メーカーＨＤＤナビ＆アイドリングストップ,DBA-8XCAX,1400,35,20101531,Ａ１,13,１．４ＴＦＳＩ,8XCAX
,アウディ,S054,Ａ１スポーツバック,１．４ ＴＦＳＩ,DBA-8XCAX,1400,35,20101535,Ａ１スポーツバック,13,１．４ＴＦＳＩ,8XCAX
,アルピーヌ,S001,Ａ１１０,ピュア 試乗車アップ,ABA-DFM5P,1800,25,35152515,アルピーヌ Ａ１１０,16,ピュア,DFM5P
,ダイハツ,S012,ムーヴ,６６０ カスタム Ｘ ＳＡ ４ＷＤ ［メモリーナビ・ＴＶ］,DBA-LA110S,660,35,10502004,ムーヴ,212,カスタム Ｘ ＳＡ,LA110S
,ダイハツ,S073,ムーヴキャンバス,６６０ Ｇ メイクアップ ＳＡＩＩ ナビ ドラレコ 衝突被害軽減ブレーキ,DBA-LA800S,660,35,10502024,ムーヴキャンバス,16,Ｇメイクアップ ＳＡⅡ,LA800S
,トヨタ,S229,８６,２．０　ＧＴ　リミテッド　ナビ・バックカメラ・ＥＴＣ,DBA-ZN6,2000,25,10101074,８６,15,ＧＴリミテッド,ZN6
,トヨタ,S241,Ｃ－ＨＲ,ハイブリッド １．８ Ｓ ＬＥＤ エディション プリクラッシュセーフティー クルーズＣ,DAA-ZYX10,1800,35,10102081,Ｃ－ＨＲ,26,Ｓ ＬＥＤエディション,ZYX10
,トヨタ,S241,Ｃ－ＨＲ,ハイブリッド １．８ Ｇ ＬＥＤヘッドライト 純正ナビ／ＴＶ,DAA-ZYX10,1800,25,10102081,Ｃ－ＨＲ,13,Ｇ,ZYX10
,トヨタ,S118,ｂＢ,１．３　Ｓ　エアロパッケージ　ナビ＆ＥＴＣ付き,DBA-QNC20,1300,25,10102040,ｂＢ,30,Ｓ エアロパッケージ,QNC20
,フィアット,S018,５００（チンクエチェント）,ツインエア ポップ 下取りワンオーナー,ABA-31209,900,25,30251513,５００,80,ツインエア ポップ,31209
,プジョー,S041,２０８,プレミアム ＨＤＤナビフルセグチューナー内蔵,ABA-A95F01,1600,25,35201526,２０８,25,プレミアム,A95F01
,ホンダ,S083,フリード,１．５ Ｇ ジャストセレクション＋ 純正ナビゲーション＆バックモニター,DBA-GB3,1500,35,10202030,フリード,51,Ｇ ジャストセレクション＋,GB3
,ホンダ,S087,ＣＲ－Ｚ,１．５ アルファ カーナビ バックカメラ,DAA-ZF2,1500,25,10201037,ＣＲ－Ｚ,13,α,ZF2
,マツダ,S003,ＡＺ－ワゴン,６６０ カスタムスタイル ＸＴ ワンセグメモリーナビ バックカメラ付,DBA-MJ23S,660,35,10252020,ＡＺワゴンカスタムスタイル,23,ＸＴ,MJ23S
,マツダ,S002,ＡＺ－オフロード,６６０ ＸＣ ４ＷＤ,ABA-JM23W,660,25,10252012,ＡＺオフロード,16,ＸＣ,JM23W
,マツダ,S003,ＡＺ－ワゴン,６６０ カスタムスタイル ＸＳ ナビ ＴＶ バックカメラ キセノンライト,DBA-MJ23S,660,35,10252020,ＡＺワゴンカスタムスタイル,13,ＸＳ,MJ23S
,マツダ,S091,フレアクロスオーバー,６６０ ＸＴ ４ＷＤ メモリーナビ,DBA-MS31S,660,35,10252026,フレアクロスオーバー,19,ＸＴ,MS31S
