１シリーズ,0,0,-32768,車名,*,*,*,*,*,１シリーズ,１シリーズ,１シリーズ
３シリーズ,0,0,-32768,車名,*,*,*,*,*,３シリーズ,３シリーズ,３シリーズ
５シリーズ,0,0,-32768,車名,*,*,*,*,*,５シリーズ,５シリーズ,５シリーズ
Ａ１,0,0,-32768,車名,*,*,*,*,*,Ａ１,Ａ１,Ａ１
Ａ１スポーツバック,0,0,-32768,車名,*,*,*,*,*,Ａ１スポーツバック,Ａ１スポーツバック,Ａ１スポーツバック
ハッチバック,0,0,-32768,車名,*,*,*,*,*,ハッチバック,ハッチバック,ハッチバック
Ａ１１０,0,0,-32768,車名,*,*,*,*,*,Ａ１１０,Ａ１１０,Ａ１１０
アルピーヌ Ａ１１０,0,0,-32768,車名,*,*,*,*,*,アルピーヌ Ａ１１０,アルピーヌ Ａ１１０,アルピーヌ Ａ１１０
ムーヴ,0,0,-32768,車名,*,*,*,*,*,ムーヴ,ムーヴ,ムーヴ
ムーヴキャンバス,0,0,-32768,車名,*,*,*,*,*,ムーヴキャンバス,ムーヴキャンバス,ムーヴキャンバス
８６,0,0,-32768,車名,*,*,*,*,*,８６,８６,８６
Ｃ－ＨＲ,0,0,-32768,車名,*,*,*,*,*,Ｃ－ＨＲ,Ｃ－ＨＲ,Ｃ－ＨＲ
ｂＢ,0,0,-32768,車名,*,*,*,*,*,ｂＢ,ｂＢ,ｂＢ
５００,0,0,-32768,車名,*,*,*,*,*,５００,５００,５００
２０８,0,0,-32768,車名,*,*,*,*,*,２０８,２０８,２０８
フリード,0,0,-32768,車名,*,*,*,*,*,フリード,フリード,フリード
ＣＲ－Ｚ,0,0,-32768,車名,*,*,*,*,*,ＣＲ－Ｚ,ＣＲ－Ｚ,ＣＲ－Ｚ
ＡＺワゴンカスタムスタイル,0,0,-32768,車名,*,*,*,*,*,ＡＺワゴンカスタムスタイル,ＡＺワゴンカスタムスタイル,ＡＺワゴンカスタムスタイル
ＡＺオフロード,0,0,-32768,車名,*,*,*,*,*,ＡＺオフロード,ＡＺオフロード,ＡＺオフロード
